                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.7052,                0.57344,                 1.2144,                0.90517,                 0.8723,                0.91977,                0.75558,                  0.714,                0.57178,                 1.1646,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.6945,                0.54683,                 1.2169,                0.88421,                0.88457,                0.92038,                0.75986,                0.72103,                0.57581,                 1.1606,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68955,                0.56098,                 1.2128,                0.88587,                0.88777,                0.92384,                0.75758,                0.71309,                0.56598,                 1.1591,              0.0010496,              0.0010496,              0.0010496
                     50,                0.68367,                0.55654,                 1.2064,                0.87633,                0.88213,                0.91745,                0.75547,                0.71227,                 0.5894,                 1.1574,              0.0010298,              0.0010298,              0.0010298
                     51,                0.69086,                0.56305,                 1.2054,                0.89393,                0.89527,                0.92098,                0.75644,                0.70423,                0.55171,                 1.1507,                0.00101,                0.00101,                0.00101
                     52,                0.69247,                0.55324,                 1.2085,                0.88336,                0.88609,                0.92203,                 0.7633,                0.71299,                0.55511,                 1.1509,              0.0009902,              0.0009902,              0.0009902
                     53,                0.67948,                0.54076,                 1.1992,                 0.9021,                0.88388,                0.92543,                0.76776,                0.69553,                0.54016,                 1.1518,              0.0009704,              0.0009704,              0.0009704
                     54,                0.67767,                0.53318,                 1.2017,                0.88401,                0.88505,                0.92238,                0.76956,                0.69757,                0.54557,                 1.1443,              0.0009506,              0.0009506,              0.0009506
                     55,                0.67378,                0.54468,                 1.1935,                0.91089,                0.86867,                0.92165,                0.76278,                0.70388,                0.55198,                 1.1534,              0.0009308,              0.0009308,              0.0009308
                     56,                0.67296,                0.53922,                 1.2013,                0.89707,                0.88269,                0.92484,                0.77139,                0.68205,                0.53514,                 1.1359,               0.000911,               0.000911,               0.000911
                     57,                0.67066,                0.54726,                 1.1922,                0.89306,                0.87951,                0.91837,                0.76121,                0.69301,                0.55162,                 1.1415,              0.0008912,              0.0008912,              0.0008912
                     58,                0.66259,                0.53575,                 1.1894,                0.90445,                 0.8816,                0.92955,                0.76646,                0.69557,                0.54263,                 1.1424,              0.0008714,              0.0008714,              0.0008714
                     59,                0.66787,                0.54307,                 1.1927,                0.89987,                0.88408,                0.92809,                0.77329,                0.69108,                 0.5289,                  1.143,              0.0008516,              0.0008516,              0.0008516
                     60,                0.65473,                0.53334,                 1.1862,                0.90818,                0.87427,                0.92762,                0.77269,                 0.6806,                0.53339,                 1.1345,              0.0008318,              0.0008318,              0.0008318
                     61,                0.66877,                0.53409,                 1.1899,                 0.9098,                 0.8734,                0.92367,                0.76816,                0.68132,                0.54412,                 1.1271,               0.000812,               0.000812,               0.000812
                     62,                0.65059,                0.52457,                 1.1796,                0.90505,                0.86845,                 0.9248,                0.77295,                0.65602,                 0.5482,                 1.1076,              0.0007922,              0.0007922,              0.0007922
                     63,                0.65556,                0.52866,                 1.1789,                0.90063,                0.88892,                0.92569,                0.76929,                0.67307,                0.54597,                 1.1112,              0.0007724,              0.0007724,              0.0007724
                     64,                0.64066,                0.51348,                  1.171,                0.89331,                0.88999,                0.92845,                0.77744,                0.66798,                0.52364,                 1.1105,              0.0007526,              0.0007526,              0.0007526
                     65,                0.64602,                0.52561,                 1.1771,                0.90646,                0.87776,                 0.9309,                0.77342,                0.66454,                0.54355,                 1.1112,              0.0007328,              0.0007328,              0.0007328
                     66,                0.64709,                0.50464,                 1.1785,                0.90473,                0.88163,                0.93004,                0.78183,                0.65558,                0.51385,                 1.1009,               0.000713,               0.000713,               0.000713
                     67,                0.63356,                0.49565,                 1.1721,                0.89595,                0.89115,                0.93131,                0.78307,                  0.659,                0.51309,                 1.1047,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.6436,                0.51205,                 1.1704,                0.90141,                 0.8734,                0.93022,                0.78442,                0.65768,                0.51553,                 1.1079,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.6409,                0.51083,                 1.1724,                0.92174,                0.87415,                0.93369,                0.78646,                0.64656,                0.49898,                 1.1005,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.6362,                0.51072,                 1.1719,                 0.8782,                0.88975,                0.92653,                0.77526,                0.66474,                0.53396,                 1.0956,              0.0006338,              0.0006338,              0.0006338
                     71,                0.63323,                0.51191,                 1.1693,                0.91422,                0.87161,                0.93089,                0.78612,                 0.6403,                0.50917,                 1.1013,               0.000614,               0.000614,               0.000614
                     72,                0.62113,                0.50534,                 1.1609,                0.89663,                0.88101,                0.92793,                0.78396,                0.64302,                 0.5164,                 1.0912,              0.0005942,              0.0005942,              0.0005942
                     73,                0.62686,                0.49777,                 1.1626,                0.89764,                0.88038,                 0.9325,                0.78952,                0.63236,                0.50505,                 1.0898,              0.0005744,              0.0005744,              0.0005744
                     74,                0.62631,                0.49951,                 1.1624,                 0.9071,                0.87813,                 0.9322,                0.79202,                 0.6296,                0.49309,                 1.0788,              0.0005546,              0.0005546,              0.0005546
                     75,                0.62369,                0.49636,                 1.1652,                0.89891,                0.89348,                0.93426,                0.79324,                0.63293,                0.50441,                 1.0754,              0.0005348,              0.0005348,              0.0005348
                     76,                0.61197,                0.50206,                 1.1582,                0.90368,                  0.882,                0.93084,                0.78541,                0.64502,                0.51956,                 1.0918,               0.000515,               0.000515,               0.000515
                     77,                 0.6238,                0.49192,                 1.1592,                0.89402,                0.89858,                0.93397,                 0.7933,                0.63152,                 0.5107,                 1.0802,              0.0004952,              0.0004952,              0.0004952
